Urdu Text,Roman Transliteration,Urdu Tokens,Roman Tokens
کچہ لوگ یوں ہی شہر میں ہم سے بہی خفا ہیں,kuchh log yūñhī shahr meñ ham se bhī ḳhafā haiñ,ک چ ہ   ل و گ   ی و ں   ہ ی   ش ہ ر   م ی ں   ہ م   س ے   ب ہ ی   خ ف ا   ہ ی ں,k u c h h   l o g   y ū ñ h ī   s h a h r   m e ñ   h a m   s e   b h ī   ḳ h a f ā   h a i ñ
ہر ایک سے اپنی بہی طبیعت نہیں ملتی,har ek se apnī bhī tabīat nahīñ miltī,ہ ر   ا ی ک   س ے   ا پ ن ی   ب ہ ی   ط ب ی ع ت   ن ہ ی ں   م ل ت ی,h a r   e k   s e   a p n ī   b h ī   t a b ī a t   n a h ī ñ   m i l t ī
میں کہ رہتا ہوں بصد ناز گریزاں تجہ سے,maiñ ki rahtā huuñ basadnāz gurezāñ tujh se,م ی ں   ک ہ   ر ہ ت ا   ہ و ں   ب ص د   ن ا ز   گ ر ی ز ا ں   ت ج ہ   س ے,m a i ñ   k i   r a h t ā   h u u ñ   b a s a d n ā z   g u r e z ā ñ   t u j h   s e
اس خواب کو جا یوسف کنعاں سوں کہوں گا,is ḳhvāb ko jā yūsufekanāñ suuñ kahūñgā,ا س   خ و ا ب   ک و   ج ا   ی و س ف   ک ن ع ا ں   س و ں   ک ہ و ں   گ ا,i s   ḳ h v ā b   k o   j ā   y ū s u f e k a n ā ñ   s u u ñ   k a h ū ñ g ā
نقطے پہ تیرے خال کے باندہا ہے جن نے دل,nuqte pe tere ḳhaal ke bāñdhā hai jin ne dil,ن ق ط ے   پ ہ   ت ی ر ے   خ ا ل   ک ے   ب ا ن د ہ ا   ہ ے   ج ن   ن ے   د ل,n u q t e   p e   t e r e   ḳ h a a l   k e   b ā ñ d h ā   h a i   j i n   n e   d i l
اب اس نظر کی دعائیں بہی مستجاب نہیں,ab is nazar kī duāeñ bhī mustajāb nahīñ,ا ب   ا س   ن ظ ر   ک ی   د ع ا ئ ی ں   ب ہ ی   م س ت ج ا ب   ن ہ ی ں,a b   i s   n a z a r   k ī   d u ā e ñ   b h ī   m u s t a j ā b   n a h ī ñ
روندتے پہرتے ہیں وہ مجمع اغیار کے ساتہ,rauñdte phirte haiñ vo majmaeaġhyār ke saath,ر و ن د ت ے   پ ہ ر ت ے   ہ ی ں   و ہ   م ج م ع   ا غ ی ا ر   ک ے   س ا ت ہ,r a u ñ d t e   p h i r t e   h a i ñ   v o   m a j m a e a ġ h y ā r   k e   s a a t h
نشہ بہ اندازۂ خمار نہیں ہے,nashsha baandāzaeḳhumār nahīñ hai,ن ش ہ   ب ہ   ا ن د ا ز ۂ   خ م ا ر   ن ہ ی ں   ہ ے,n a s h s h a   b a a n d ā z a e ḳ h u m ā r   n a h ī ñ   h a i
دل ہر ذرہ میں غوغائے رستاخیز ہے ساقی,dileharzarra meñ ġhauġhāerustāḳhez hai saaqī,د ل   ہ ر   ذ ر ہ   م ی ں   غ و غ ا ئ ے   ر س ت ا خ ی ز   ہ ے   س ا ق ی,d i l e h a r z a r r a   m e ñ   ġ h a u ġ h ā e r u s t ā ḳ h e z   h a i   s a a q ī
شکوۂ غم شیوۂ اہل وفا ہوتا نہیں,shikvaeġham shevaeahlevafā hotā nahīñ,ش ک و ۂ   غ م   ش ی و ۂ   ا ہ ل   و ف ا   ہ و ت ا   ن ہ ی ں,s h i k v a e ġ h a m   s h e v a e a h l e v a f ā   h o t ā   n a h ī ñ
دشنہ اک تیز سا ہوتا مرے غم خوار کے پاس,dashna ik tez sā hotā mire ġhamḳhvār ke paas,د ش ن ہ   ا ک   ت ی ز   س ا   ہ و ت ا   م ر ے   غ م   خ و ا ر   ک ے   پ ا س,d a s h n a   i k   t e z   s ā   h o t ā   m i r e   ġ h a m ḳ h v ā r   k e   p a a s
جانتا بہی ہے اس کو تو واعظ,jāntā bhī hai us ko tū vaaiz,ج ا ن ت ا   ب ہ ی   ہ ے   ا س   ک و   ت و   و ا ع ظ,j ā n t ā   b h ī   h a i   u s   k o   t ū   v a a i z
برگ گل ریزۂ مینا کی نشانی مانگے,bargegul rezaemīnā kī nishānī māñge,ب ر گ   گ ل   ر ی ز ہ ٔ   م ی ن ا   ک ی   ن ش ا ن ی   م ا ن گ ے,b a r g e g u l   r e z a e m ī n ā   k ī   n i s h ā n ī   m ā ñ g e
شکل دکہائی تب اس نے جب انکہوں کو خوں بار کیا,shakl dikhāī tab us ne jab āñkhoñ ko ḳhūñbār kiyā,ش ک ل   د ک ہ ا ئ ی   ت ب   ا س   ن ے   ج ب   ا ن ک ہ و ں   ک و   خ و ں   ب ا ر   ک ی ا,s h a k l   d i k h ā ī   t a b   u s   n e   j a b   ā ñ k h o ñ   k o   ḳ h ū ñ b ā r   k i y ā
ہو چکا ناز اٹہانے میں ہے گو کام تمام,ho chukā naaz uthāne meñ hai go kaam tamām,ہ و   چ ک ا   ن ا ز   ا ٹ ہ ا ن ے   م ی ں   ہ ے   گ و   ک ا م   ت م ا م,h o   c h u k ā   n a a z   u t h ā n e   m e ñ   h a i   g o   k a a m   t a m ā m
نمک زخم جگر بال فشانی مانگے,namakezaḳhmejigar bālfishānī māñge,ن م ک   ز خ م   ج گ ر   ب ا ل   ف ش ا ن ی   م ا ن گ ے,n a m a k e z a ḳ h m e j i g a r   b ā l f i s h ā n ī   m ā ñ g e
دائم الحبس اس میں ہیں لاکہوں تمنائیں اسدؔ,dāimulhabs is meñ haiñ lākhoñ tamannāeñ asad,د ا ئ م   ا ل ح ب س   ا س   م ی ں   ہ ی ں   ل ا ک ہ و ں   ت م ن ا ئ ی ں   ا س د ؔ,d ā i m u l h a b s   i s   m e ñ   h a i ñ   l ā k h o ñ   t a m a n n ā e ñ   a s a d
ہم زندگی میں پہر کوئی ارماں نہ کر سکے,ham zindagī meñ phir koī armāñ na kar sake,ہ م   ز ن د گ ی   م ی ں   پ ہ ر   ک و ئ ی   ا ر م ا ں   ن ہ   ک ر   س ک ے,h a m   z i n d a g ī   m e ñ   p h i r   k o ī   a r m ā ñ   n a   k a r   s a k e
مے پرستاں خم مے منہ سے لگائے ہی بنے,maiparastāñ ḳhumemai muñh se lagāe hī bane,م ے   پ ر س ت ا ں   خ م   م ے   م ن ہ   س ے   ل گ ا ئ ے   ہ ی   ب ن ے,m a i p a r a s t ā ñ   ḳ h u m e m a i   m u ñ h   s e   l a g ā e   h ī   b a n e
بس ایک بار ہوئی اور پہر کبہی نہ ہوئی,bas ek baar huī aur phir kabhī na huī,ب س   ا ی ک   ب ا ر   ہ و ئ ی   ا و ر   پ ہ ر   ک ب ہ ی   ن ہ   ہ و ئ ی,b a s   e k   b a a r   h u ī   a u r   p h i r   k a b h ī   n a   h u ī
یہ جان بہی اے جان ادا ساتہ لیے جا,ye jaan bhī ai jāneadā saath liye jā,ی ہ   ج ا ن   ب ہ ی   ا ے   ج ا ن   ا د ا   س ا ت ہ   ل ی ے   ج ا,y e   j a a n   b h ī   a i   j ā n e a d ā   s a a t h   l i y e   j ā
میں خود بہی سوچتا ہوں یہ کیا میرا حال ہے,maiñ ḳhud bhī sochtā huuñ ye kyā merā haal hai,م ی ں   خ و د   ب ہ ی   س و چ ت ا   ہ و ں   ی ہ   ک ی ا   م ی ر ا   ح ا ل   ہ ے,m a i ñ   ḳ h u d   b h ī   s o c h t ā   h u u ñ   y e   k y ā   m e r ā   h a a l   h a i
کیا مری نیند بہی تمہاری ہے,kyā mirī niiñd bhī tumhārī hai,ک ی ا   م ر ی   ن ی ن د   ب ہ ی   ت م ہ ا ر ی   ہ ے,k y ā   m i r ī   n i i ñ d   b h ī   t u m h ā r ī   h a i
مجہ سے گریز پا ہے تو ہر راستہ بدل,mujh se gurezpā hai to har rāsta badal,م ج ہ   س ے   گ ر ی ز   پ ا   ہ ے   ت و   ہ ر   ر ا س ت ہ   ب د ل,m u j h   s e   g u r e z p ā   h a i   t o   h a r   r ā s t a   b a d a l
تو خدا تو نہیں اے ناصح ناداں میرا,tū ḳhudā to nahīñ ai nāsehenādāñ merā,ت و   خ د ا   ت و   ن ہ ی ں   ا ے   ن ا ص ح   ن ا د ا ں   م ی ر ا,t ū   ḳ h u d ā   t o   n a h ī ñ   a i   n ā s e h e n ā d ā ñ   m e r ā
سیلاب گریہ درپئے دیوار و در ہے اج,sailābegirya darpaiedīvārodar hai aaj,س ی ل ا ب   گ ر ی ہ   د ر پ ئ ے   د ی و ا ر   و   د ر   ہ ے   ا ج,s a i l ā b e g i r y a   d a r p a i e d ī v ā r o d a r   h a i   a a j
اس کی چین استیں بہی چین پیشانی ہوئی,us kī chīneāstīñ bhī chīnepeshānī huī,ا س   ک ی   چ ی ن   ا س ت ی ں   ب ہ ی   چ ی ن   پ ی ش ا ن ی   ہ و ئ ی,u s   k ī   c h ī n e ā s t ī ñ   b h ī   c h ī n e p e s h ā n ī   h u ī
پر اسے دیر اشنا کہئے,par use derāshnā kahiye,پ ر   ا س ے   د ی ر   ا ش ن ا   ک ہ ئ ے,p a r   u s e   d e r ā s h n ā   k a h i y e
کوئی خدا ہے تو وہ کہاں تہا میری کیا اوقات لکہوں,koī ḳhudā hai to vo kahāñ thā merī kyā auqāt likhūñ,ک و ئ ی   خ د ا   ہ ے   ت و   و ہ   ک ہ ا ں   ت ہ ا   م ی ر ی   ک ی ا   ا و ق ا ت   ل ک ہ و ں,k o ī   ḳ h u d ā   h a i   t o   v o   k a h ā ñ   t h ā   m e r ī   k y ā   a u q ā t   l i k h ū ñ
کہیں حیات اسی فاصلے کا نام نہ ہو,kahīñ hayāt usī fāsle kā naam na ho,ک ہ ی ں   ح ی ا ت   ا س ی   ف ا ص ل ے   ک ا   ن ا م   ن ہ   ہ و,k a h ī ñ   h a y ā t   u s ī   f ā s l e   k ā   n a a m   n a   h o
جس طرح کا کہ کسی میں ہو کمال اچہا ہے,jis tarah kā ki kisī meñ ho kamāl achchhā hai,ج س   ط ر ح   ک ا   ک ہ   ک س ی   م ی ں   ہ و   ک م ا ل   ا چ ہ ا   ہ ے,j i s   t a r a h   k ā   k i   k i s ī   m e ñ   h o   k a m ā l   a c h c h h ā   h a i
چلے اتے ہیں دل میں ارمان لاکہوں,chale aate haiñ dil meñ armān lākhoñ,چ ل ے   ا ت ے   ہ ی ں   د ل   م ی ں   ا ر م ا ن   ل ا ک ہ و ں,c h a l e   a a t e   h a i ñ   d i l   m e ñ   a r m ā n   l ā k h o ñ
ایک قطرے کو سمندر نظر ائیں کیسے,ek qatre ko samundar nazar aaeñ kaise,ا ی ک   ق ط ر ے   ک و   س م ن د ر   ن ظ ر   ا ئ ی ں   ک ی س ے,e k   q a t r e   k o   s a m u n d a r   n a z a r   a a e ñ   k a i s e
یہ سخن جو ہم نے رقم کیے یہ ہیں سب ورق تری یاد کے,ye suḳhan jo ham ne raqam kiye ye haiñ sab varaq tirī yaad ke,ی ہ   س خ ن   ج و   ہ م   ن ے   ر ق م   ک ی ے   ی ہ   ہ ی ں   س ب   و ر ق   ت ر ی   ی ا د   ک ے,y e   s u ḳ h a n   j o   h a m   n e   r a q a m   k i y e   y e   h a i ñ   s a b   v a r a q   t i r ī   y a a d   k e
کہانیوں سے شب غم بہل تو سکتی ہے,kahāniyoñ se shabeġham bahal to saktī hai,ک ہ ا ن ی و ں   س ے   ش ب   غ م   ب ہ ل   ت و   س ک ت ی   ہ ے,k a h ā n i y o ñ   s e   s h a b e ġ h a m   b a h a l   t o   s a k t ī   h a i
جو بہی ہم سے ملنے ایا ملنے سے انکار کیا,jo bhī ham se milne aayā milne se inkār kiyā,ج و   ب ہ ی   ہ م   س ے   م ل ن ے   ا ی ا   م ل ن ے   س ے   ا ن ک ا ر   ک ی ا,j o   b h ī   h a m   s e   m i l n e   a a y ā   m i l n e   s e   i n k ā r   k i y ā
کہا میں نے کہ دے اس کو اجازت اہ کرنے کی,kahā maiñ ne ki de us ko ijāzat aah karne kī,ک ہ ا   م ی ں   ن ے   ک ہ   د ے   ا س   ک و   ا ج ا ز ت   ا ہ   ک ر ن ے   ک ی,k a h ā   m a i ñ   n e   k i   d e   u s   k o   i j ā z a t   a a h   k a r n e   k ī
سارے عالم میں میں دکہا لایا,saare aalam meñ maiñ dikhā laayā,س ا ر ے   ع ا ل م   م ی ں   م ی ں   د ک ہ ا   ل ا ی ا,s a a r e   a a l a m   m e ñ   m a i ñ   d i k h ā   l a a y ā
لے چلو مجہ کو راہروان عدم,le chalo mujh ko rāhravāneadam,ل ے   چ ل و   م ج ہ   ک و   ر ا ہ ر و ا ن   ع د م,l e   c h a l o   m u j h   k o   r ā h r a v ā n e a d a m
لو ارادوں کی بڑہا دی شب نے,lau irādoñ kī baḍhā dī shab ne,ل و   ا ر ا د و ں   ک ی   ب ڑ ہ ا   د ی   ش ب   ن ے,l a u   i r ā d o ñ   k ī   b a ḍ h ā   d ī   s h a b   n e
چنگ و نے رنگ پہ تہے اپنے لہو کے دم سے,chañg o nai rañg pe the apne lahū ke dam se,چ ن گ   و   ن ے   ر ن گ   پ ہ   ت ہ ے   ا پ ن ے   ل ہ و   ک ے   د م   س ے,c h a ñ g   o   n a i   r a ñ g   p e   t h e   a p n e   l a h ū   k e   d a m   s e
اگہی گر نہیں غفلت ہی سہی,āgahī gar nahīñ ġhaflat hī sahī,ا گ ہ ی   گ ر   ن ہ ی ں   غ ف ل ت   ہ ی   س ہ ی,ā g a h ī   g a r   n a h ī ñ   ġ h a f l a t   h ī   s a h ī
وہ کون تہا جس سے تری صورت نہیں ملتی,vo kaun thā jis se tirī sūrat nahīñ miltī,و ہ   ک و ن   ت ہ ا   ج س   س ے   ت ر ی   ص و ر ت   ن ہ ی ں   م ل ت ی,v o   k a u n   t h ā   j i s   s e   t i r ī   s ū r a t   n a h ī ñ   m i l t ī
ہوئی ہے عشق ہی سے حسن کی قدر,huī hai ishq hī se husn kī qadr,ہ و ئ ی   ہ ے   ع ش ق   ہ ی   س ے   ح س ن   ک ی   ق د ر,h u ī   h a i   i s h q   h ī   s e   h u s n   k ī   q a d r
حاکم شہر یہ بہی کوئی شہر ہے,hākimeshahr ye bhī koī shahr hai,ح ا ک م   ش ہ ر   ی ہ   ب ہ ی   ک و ئ ی   ش ہ ر   ہ ے,h ā k i m e s h a h r   y e   b h ī   k o ī   s h a h r   h a i
اپنی ہستی ہی سے ہو جو کچہ ہو,apnī hastī hī se ho jo kuchh ho,ا پ ن ی   ہ س ت ی   ہ ی   س ے   ہ و   ج و   ک چ ہ   ہ و,a p n ī   h a s t ī   h ī   s e   h o   j o   k u c h h   h o
بے زباں جو کہتے ہیں مجہ کو سو چپ رہ جائیں گے,bezabāñ jo kahte haiñ mujh ko so chup rah jāeñge,ب ے   ز ب ا ں   ج و   ک ہ ت ے   ہ ی ں   م ج ہ   ک و   س و   چ پ   ر ہ   ج ا ئ ی ں   گ ے,b e z a b ā ñ   j o   k a h t e   h a i ñ   m u j h   k o   s o   c h u p   r a h   j ā e ñ g e
گردش رنگ طرب سے ڈر ہے,gardisherañgetarab se dar hai,گ ر د ش   ر ن گ   ط ر ب   س ے   ڈ ر   ہ ے,g a r d i s h e r a ñ g e t a r a b   s e   d a r   h a i
دے بط مے کو دل و دست شنا موج شراب,de batemai ko dilodasteshanā maujesharāb,د ے   ب ط   م ے   ک و   د ل   و   د س ت   ش ن ا   م و ج   ش ر ا ب,d e   b a t e m a i   k o   d i l o d a s t e s h a n ā   m a u j e s h a r ā b
تہوڑا سا ا کے پہونک دو اڑتا نہیں دہواں,thoḍā sā aa ke phūñk do uḍtā nahīñ dhuāñ,ت ہ و ڑ ا   س ا   ا   ک ے   پ ہ و ن ک   د و   ا ڑ ت ا   ن ہ ی ں   د ہ و ا ں,t h o ḍ ā   s ā   a a   k e   p h ū ñ k   d o   u ḍ t ā   n a h ī ñ   d h u ā ñ
میری غزلوں میں حقائق ہیں فقط,merī ġhazloñ meñ haqāeq haiñ faqat,م ی ر ی   غ ز ل و ں   م ی ں   ح ق ا ئ ق   ہ ی ں   ف ق ط,m e r ī   ġ h a z l o ñ   m e ñ   h a q ā e q   h a i ñ   f a q a t
یوں فرط بے خودی سے محبت میں جان دے,yuuñ fartebeḳhudī se mohabbat meñ jaan de,ی و ں   ف ر ط   ب ے   خ و د ی   س ے   م ح ب ت   م ی ں   ج ا ن   د ے,y u u ñ   f a r t e b e ḳ h u d ī   s e   m o h a b b a t   m e ñ   j a a n   d e
امد خط سے نہ کر خندۂ شیریں کہ مباد,āmadeḳhat se na kar ḳhandaeshīrīñ ki mabād,ا م د   خ ط   س ے   ن ہ   ک ر   خ ن د ہ ٔ   ش ی ر ی ں   ک ہ   م ب ا د,ā m a d e ḳ h a t   s e   n a   k a r   ḳ h a n d a e s h ī r ī ñ   k i   m a b ā d
ہم نے جب کہائی ہے اپنے ہی سے زک کہائی ہے,ham ne jab khaaī hai apne hī se zak khaaī hai,ہ م   ن ے   ج ب   ک ہ ا ئ ی   ہ ے   ا پ ن ے   ہ ی   س ے   ز ک   ک ہ ا ئ ی   ہ ے,h a m   n e   j a b   k h a a ī   h a i   a p n e   h ī   s e   z a k   k h a a ī   h a i
مستی سے ہر نگہ ترے رخ پر بکہر گئی,mastī se har nigah tire ruḳh par bikhar gaī,م س ت ی   س ے   ہ ر   ن گ ہ   ت ر ے   ر خ   پ ر   ب ک ہ ر   گ ئ ی,m a s t ī   s e   h a r   n i g a h   t i r e   r u ḳ h   p a r   b i k h a r   g a ī
اپنے حق میں دعا کرے کوئی,apne haq meñ duā kare koī,ا پ ن ے   ح ق   م ی ں   د ع ا   ک ر ے   ک و ئ ی,a p n e   h a q   m e ñ   d u ā   k a r e   k o ī
قید سے تیری کہاں جائیں گے ہم بے بال و پر,qaid se terī kahāñ jāeñge ham bebālopar,ق ی د   س ے   ت ی ر ی   ک ہ ا ں   ج ا ئ ی ں   گ ے   ہ م   ب ے   ب ا ل   و   پ ر,q a i d   s e   t e r ī   k a h ā ñ   j ā e ñ g e   h a m   b e b ā l o p a r
شہادت تہی مری قسمت میں جو دی تہی یہ خو مجہ کو,shahādat thī mirī qismat meñ jo dī thī ye ḳhū mujh ko,ش ہ ا د ت   ت ہ ی   م ر ی   ق س م ت   م ی ں   ج و   د ی   ت ہ ی   ی ہ   خ و   م ج ہ   ک و,s h a h ā d a t   t h ī   m i r ī   q i s m a t   m e ñ   j o   d ī   t h ī   y e   ḳ h ū   m u j h   k o
برہم ہے اس قدر جو مرے دل سے زلف یار,barham hai is qadar jo mire dil se zulfeyār,ب ر ہ م   ہ ے   ا س   ق د ر   ج و   م ر ے   د ل   س ے   ز ل ف   ی ا ر,b a r h a m   h a i   i s   q a d a r   j o   m i r e   d i l   s e   z u l f e y ā r
غم فراق کے کشتوں کا حشر کیا ہوگا,ġhamefirāq ke kushtoñ kā hashr kyā hogā,غ م   ف ر ا ق   ک ے   ک ش ت و ں   ک ا   ح ش ر   ک ی ا   ہ و گ ا,ġ h a m e f i r ā q   k e   k u s h t o ñ   k ā   h a s h r   k y ā   h o g ā
اے کہ تیری خوشی مقدم ہے,ai ki terī ḳhushī muqaddam hai,ا ے   ک ہ   ت ی ر ی   خ و ش ی   م ق د م   ہ ے,a i   k i   t e r ī   ḳ h u s h ī   m u q a d d a m   h a i
یہ وہ نہیں جو کسی رہ گزر کا ہو جائے,ye vo nahīñ jo kisī rahguzar kā ho jaae,ی ہ   و ہ   ن ہ ی ں   ج و   ک س ی   ر ہ   گ ز ر   ک ا   ہ و   ج ا ئ ے,y e   v o   n a h ī ñ   j o   k i s ī   r a h g u z a r   k ā   h o   j a a e
صحبتیں اگلی مصور ہمیں یاد ائیں گی,sohbateñ aglī musavvir hameñ yaad āeñgī,ص ح ب ت ی ں   ا گ ل ی   م ص و ر   ہ م ی ں   ی ا د   ا ئ ی ں   گ ی,s o h b a t e ñ   a g l ī   m u s a v v i r   h a m e ñ   y a a d   ā e ñ g ī
چمن اڑ گیا اندہیاں اتے اتے,chaman uḍ gayā āñdhiyāñ aate aate,چ م ن   ا ڑ   گ ی ا   ا ن د ہ ی ا ں   ا ت ے   ا ت ے,c h a m a n   u ḍ   g a y ā   ā ñ d h i y ā ñ   a a t e   a a t e
بجز پرواز شوق ناز کیا باقی رہا ہوگا,bajuz parvāzeshauqenāz kyā baaqī rahā hogā,ب ج ز   پ ر و ا ز   ش و ق   ن ا ز   ک ی ا   ب ا ق ی   ر ہ ا   ہ و گ ا,b a j u z   p a r v ā z e s h a u q e n ā z   k y ā   b a a q ī   r a h ā   h o g ā
ہو جرم تنہا سوچنا لیکن سزا اوارگی,ho jurm tanhā sochnā lekin sazā āvārgī,ہ و   ج ر م   ت ن ہ ا   س و چ ن ا   ل ی ک ن   س ز ا   ا و ا ر گ ی,h o   j u r m   t a n h ā   s o c h n ā   l e k i n   s a z ā   ā v ā r g ī
دل میں یوں روز انقلاب ائے,dil meñ yuuñ roz inqalāb aae,د ل   م ی ں   ی و ں   ر و ز   ا ن ق ل ا ب   ا ئ ے,d i l   m e ñ   y u u ñ   r o z   i n q a l ā b   a a e
غم ہوتے ہیں جہاں ذہانت ہوتی ہے,ġham hote haiñ jahāñ zehānat hotī hai,غ م   ہ و ت ے   ہ ی ں   ج ہ ا ں   ذ ہ ا ن ت   ہ و ت ی   ہ ے,ġ h a m   h o t e   h a i ñ   j a h ā ñ   z e h ā n a t   h o t ī   h a i
وفاداری میں شیخ و برہمن کی ازمائش ہے,vafādārī meñ shaiḳh o barhaman kī āzmāish hai,و ف ا د ا ر ی   م ی ں   ش ی خ   و   ب ر ہ م ن   ک ی   ا ز م ا ئ ش   ہ ے,v a f ā d ā r ī   m e ñ   s h a i ḳ h   o   b a r h a m a n   k ī   ā z m ā i s h   h a i
گر کیا ناصح نے ہم کو قید اچہا یوں سہی,gar kiyā nāseh ne ham ko qaid achchhā yuuñ sahī,گ ر   ک ی ا   ن ا ص ح   ن ے   ہ م   ک و   ق ی د   ا چ ہ ا   ی و ں   س ہ ی,g a r   k i y ā   n ā s e h   n e   h a m   k o   q a i d   a c h c h h ā   y u u ñ   s a h ī
گیہوں چاول بانٹنے والے جہوٹا تولیں تو کیا بولیں,gehūñ chāval bāñtne vaale jhūtā tauleñ to kyā boleñ,گ ی ہ و ں   چ ا و ل   ب ا ن ٹ ن ے   و ا ل ے   ج ہ و ٹ ا   ت و ل ی ں   ت و   ک ی ا   ب و ل ی ں,g e h ū ñ   c h ā v a l   b ā ñ t n e   v a a l e   j h ū t ā   t a u l e ñ   t o   k y ā   b o l e ñ
اج کی رات تو خوشبو کا سفر لگتی ہے,aaj kī raat to ḳhushbū kā safar lagtī hai,ا ج   ک ی   ر ا ت   ت و   خ و ش ب و   ک ا   س ف ر   ل گ ت ی   ہ ے,a a j   k ī   r a a t   t o   ḳ h u s h b ū   k ā   s a f a r   l a g t ī   h a i
شاد کاموں کو یہ نہیں توفیق,shādkāmoñ ko ye nahīñ taufīq,ش ا د   ک ا م و ں   ک و   ی ہ   ن ہ ی ں   ت و ف ی ق,s h ā d k ā m o ñ   k o   y e   n a h ī ñ   t a u f ī q
