Urdu Text,Roman Transliteration
اللہ کو پکار مصیبت اگر پڑے,allāh ko pukār musībat agar paḍe
اے شیخ ان بتوں کی یہ چالاکیاں تو دیکہ,ai shaiḳh un butoñ kī ye chālākiyāñ to dekh
نکلے اگر حرم سے تو اکبرؔ کے گہر پڑے,nikle agar haram se to akbar ke ghar paḍe
دل مرا جس سے بہلتا کوئی ایسا نہ ملا,dil mirā jis se bahaltā koī aisā na milā
بت کے بندے ملے اللہ کا بندا نہ ملا,but ke bande mile allāh kā bandā na milā
بزم یاراں سے پہری باد بہاری مایوس,bazmeyārāñ se phirī bādebahārī māyūs
ایک سر بہی اسے امادۂ سودا نہ ملا,ek sar bhī use āmādaesaudā na milā
گل کے خواہاں تو نظر ائے بہت عطر فروش,gul ke ḳhvāhāñ to nazar aae bahut itrfarosh
طالب زمزمۂ بلبل شیدا نہ ملا,tālibezamzamaebulbuleshaidā na milā
واہ کیا راہ دکہائی ہے ہمیں مرشد نے,vaah kyā raah dikhāī hai hameñ murshid ne
کر دیا کعبہ کو گم اور کلیسا نہ ملا,kar diyā kaabe ko gum aur kalīsā na milā
رنگ چہرے کا تو کالج نے بہی رکہا قائم,rañg chehre kā to collage ne bhī rakkhā qaaim
رنگ باطن میں مگر باپ سے بیٹا نہ ملا,rañgebātin meñ magar baap se betā na milā
سید اٹہے جو گزٹ لے کے تو لاکہوں لائے,sayyad utthe jo gazette le ke to lākhoñ laae
شیخ قران دکہاتے پہرے پیسا نہ ملا,shaiḳh qurān dikhāte phire paisā na milā
ہوشیاروں میں تو اک اک سے سوا ہیں اکبرؔ,hoshyāroñ meñ to ik ik se sivā haiñ akbar
مجہ کو دیوانوں میں لیکن کوئی تجہ سا نہ ملا,mujh ko dīvānoñ meñ lekin koī tujh sā na milā
دنیا میں ہوں دنیا کا طلب گار نہیں ہوں,duniyā meñ huuñ duniyā kā talabgār nahīñ huuñ
بازار سے گزرا ہوں خریدار نہیں ہوں,bāzār se guzrā huuñ ḳharīdār nahīñ huuñ
زندہ ہوں مگر زیست کی لذت نہیں باقی,zinda huuñ magar ziist kī lazzat nahīñ baaqī
ہر چند کہ ہوں ہوش میں ہشیار نہیں ہوں,harchand ki huuñ hosh meñ hushyār nahīñ huuñ
اس خانۂ ہستی سے گزر جاؤں گا بے لوث,is ḳhānaehastī se guzar jāūñgā belaus
سایہ ہوں فقط نقش بہ دیوار نہیں ہوں,saaya huuñ faqat naqshbadīvār nahīñ huuñ
افسردہ ہوں عبرت سے دوا کی نہیں حاجت,afsurda huuñ ibrat se davā kī nahīñ hājat
غم کا مجہے یہ ضعف ہے بیمار نہیں ہوں,ġham kā mujhe ye zoaf hai bīmār nahīñ huuñ
وہ گل ہوں خزاں نے جسے برباد کیا ہے,vo gul huuñ ḳhizāñ ne jise barbād kiyā hai
الجہوں کسی دامن سے میں وہ خار نہیں ہوں,uljhūñ kisī dāman se maiñ vo ḳhaar nahīñ huuñ
یا رب مجہے محفوظ رکہ اس بت کے ستم سے,yā rab mujhe mahfūz rakh us but ke sitam se
میں اس کی عنایت کا طلب گار نہیں ہوں,maiñ us kī ināyat kā talabgār nahīñ huuñ
گو دعوی تقوی نہیں درگاہ خدا میں,go dāvaetaqvā nahīñ dargāheḳhudā meñ
بت جس سے ہوں خوش ایسا گنہ گار نہیں ہوں,but jis se hoñ ḳhush aisā gunahgār nahīñ huuñ
افسردگی و ضعف کی کچہ حد نہیں اکبرؔ,afsurdagī o zoaf kī kuchh had nahīñ akbar
کافر کے مقابل میں بہی دیں دار نہیں ہوں,kāfir ke muqābil meñ bhī dīñdār nahīñ huuñ
فلسفی کو بحث کے اندر خدا ملتا نہیں,falsafī ko bahs ke andar ḳhudā miltā nahīñ
ڈور کو سلجہا رہا ہے اور سرا ملتا نہیں,dor ko suljhā rahā hai aur sirā miltā nahīñ
معرفت خالق کی عالم میں بہت دشوار ہے,maarifat ḳhāliq kī aalam meñ bahut dushvār hai
شہر تن میں جب کہ خود اپنا پتا ملتا نہیں,shahretan meñ jab ki ḳhud apnā patā miltā nahīñ
غافلوں کے لطف کو کافی ہے دنیاوی خوشی,ġhāfiloñ ke lutf ko kaafī hai duniyāvī ḳhushī
عاقلوں کو بے غم عقبی مزا ملتا نہیں,āqiloñ ko beġhameuqbā mazā miltā nahīñ
کشتئ دل کی الہی بحر ہستی میں ہو خیر,kashtiedil kī ilāhī bahrehastī meñ ho ḳhair
ناخدا ملتے ہیں لیکن با خدا ملتا نہیں,nāḳhudā milte haiñ lekin bāḳhudā miltā nahīñ
غافلوں کو کیا سناؤں داستان عشق یار,ġhāfiloñ ko kyā sunāūñ dāstāneishqeyār
سننے والے ملتے ہیں درد اشنا ملتا نہیں,sunñe vaale milte haiñ dardāshnā miltā nahīñ
زندگانی کا مزا ملتا تہا جن کی بزم میں,zindagānī kā mazā miltā thā jin kī bazm meñ
ان کی قبروں کا بہی اب مجہ کو پتا ملتا نہیں,un kī qabroñ kā bhī ab mujh ko patā miltā nahīñ
صرف ظاہر ہو گیا سرمایۂ زیب و صفا,sirf zāhir ho gayā sarmāyaezebosafā
کیا تعجب ہے جو باطن با صفا ملتا نہیں,kyā taajjub hai jo bātin bāsafā miltā nahīñ
پختہ طبعوں پر حوادث کا نہیں ہوتا اثر,puḳhta tabaoñ par havādis kā nahīñ hotā asar
کوہساروں میں نشان نقش پا ملتا نہیں,kohsāroñ meñ nishānenaqshepā miltā nahīñ
شیخ صاحب برہمن سے لاکہ برتیں دوستی,shaiḳhsāhib barhaman se laakh barteñ dostī
بے بہجن گائے تو مندر سے ٹکا ملتا نہیں,bebhajan gaae to mandir se tikā miltā nahīñ
جس پہ دل ایا ہے وہ شیریں ادا ملتا نہیں,jis pe dil aayā hai vo shīrīñadā miltā nahīñ
زندگی ہے تلخ جینے کا مزا ملتا نہیں,zindagī hai talḳh jiine kā mazā miltā nahīñ
لوگ کہتے ہیں کہ بد نامی سے بچنا چاہئے,log kahte haiñ ki badnāmī se bachnā chāhiye
کہہ دو بے اس کے جوانی کا مزا ملتا نہیں,keh do be us ke javānī kā mazā miltā nahīñ
اہل ظاہر جس قدر چاہیں کریں بحث و جدال,ahlezāhir jis qadar chāheñ kareñ bahsojidāl
میں یہ سمجہا ہوں خودی میں تو خدا ملتا نہیں,maiñ ye samjhā huuñ ḳhudī meñ to ḳhudā miltā nahīñ
چل بسے وہ دن کہ یاروں سے بہری تہی انجمن,chal base vo din ki yāroñ se bharī thī anjuman
ہائے افسوس اج صورت اشنا ملتا نہیں,haae afsos aaj sūratāshnā miltā nahīñ
منزل عشق و توکل منزل اعزاز ہے,manzileishqotavakkul manzileezāz hai
شاہ سب بستے ہیں یاں کوئی گدا ملتا نہیں,shaah sab baste haiñ yaañ koī gadā miltā nahīñ
بار تکلیفوں کا مجہ پر بار احساں سے ہے سہل,baar taklīfoñ kā mujh par bāreehsāñ se hai sahl
شکر کی جا ہے اگر حاجت روا ملتا نہیں,shukr kī jā hai agar hājatravā miltā nahīñ
چاندنی راتیں بہار اپنی دکہاتی ہیں تو کیا,chāñdnī rāteñ bahār apnī dikhātī haiñ to kyā
بے ترے مجہ کو تو لطف اے مہ لقا ملتا نہیں,be tire mujh ko to lutf ai mahlaqā miltā nahīñ
معنیٔ دل کا کرے اظہار اکبرؔ کس طرح,maanīedil kā kare izhār akbar kis tarah
لفظ موزوں بہر کشف مدعا ملتا نہیں,lafz mauzūñ bahrekashfemuddaā miltā nahīñ
گلے لگائیں کریں پیار تم کو عید کے دن,gale lagāeñ kareñ pyaar tum ko eid ke din
ادہر تو اؤ مرے گلعذار عید کے دن,idhar to aao mire gulezār eid ke din
غضب کا حسن ہے ارائشیں قیامت کی,ġhazab kā husn hai ārāisheñ qayāmat kī
عیاں ہے قدرت پروردگار عید کے دن,ayaañ hai qudrateparvardigār eid ke din
سنبہل سکی نہ طبیعت کسی طرح میری,sambhal sakī na tabīat kisī tarah merī
رہا نہ دل پہ مجہے اختیار عید کے دن,rahā na dil pe mujhe iḳhtiyār eid ke din
وہ سال بہر سے کدورت بہری جو تہی دل میں,vo saal bhar se kudūrat bharī jo thī dil meñ
وہ دور ہو گئی بس ایک بار عید کے دن,vo duur ho gaī bas ek baar eid ke din
لگا لیا انہیں سینہ سے جوش الفت میں,lagā liyā unheñ siine se josheulfat meñ
غرض کہ ا ہی گیا مجہ کو پیار عید کے دن,ġharaz ki aa hī gayā mujh ko pyaar eid ke din
کہیں ہے نغمۂ بلبل کہیں ہے خندۂ گل,kahīñ hai naġhmaebulbul kahīñ hai ḳhandaegul
عیاں ہے جوش شباب بہار عید کے دن,ayaañ hai josheshabābebahār eid ke din
سویاں دودہ شکر میوہ سب مہیا ہے,sivayyāñ duudh shakar meva sab muhayyā hai
مگر یہ سب ہے مجہے ناگوار عید کے دن,magar ye sab hai mujhe nāgavār eid ke din
ملے اگر لب شیریں کا تیرے اک بوسہ,mile agar labeshīrīñ kā tere ik bosa
تو لطف ہو مجہے البتہ یار عید کے دن,to lutf ho mujhe albatta yaar eid ke din
غمزہ نہیں ہوتا کہ اشارا نہیں ہوتا,ġhamza nahīñ hotā ki ishārā nahīñ hotā
انکہ ان سے جو ملتی ہے تو کیا کیا نہیں ہوتا,aañkh un se jo miltī hai to kyā kyā nahīñ hotā
جلوہ نہ ہو معنی کا تو صورت کا اثر کیا,jalva na ho maanī kā to sūrat kā asar kyā
بلبل گل تصویر کا شیدا نہیں ہوتا,bulbul guletasvīr kā shaidā nahīñ hotā
اللہ بچائے مرض عشق سے دل کو,allāh bachāe marazeishq se dil ko
سنتے ہیں کہ یہ عارضہ اچہا نہیں ہوتا,sunte haiñ ki ye āriza achchhā nahīñ hotā
تشبیہ ترے چہرے کو کیا دوں گل تر سے,tashbīh tire chehre ko kyā duuñ guletar se
ہوتا ہے شگفتہ مگر اتنا نہیں ہوتا,hotā hai shagufta magar itnā nahīñ hotā
میں نزع میں ہوں ائیں تو احسان ہے ان کا,maiñ nazaa meñ huuñ aaeñ to ehsān hai un kā
لیکن یہ سمجہ لیں کہ تماشا نہیں ہوتا,lekin ye samajh leñ ki tamāshā nahīñ hotā
ہم اہ بہی کرتے ہیں تو ہو جاتے ہیں بدنام,ham aah bhī karte haiñ to ho jaate haiñ badnām
وہ قتل بہی کرتے ہیں تو چرچا نہیں ہوتا,vo qatl bhī karte haiñ to charchā nahīñ hotā
حال دل میں سنا نہیں سکتا,hāledil maiñ sunā nahīñ saktā
لفظ معنی کو پا نہیں سکتا,lafz maanā ko pā nahīñ saktā
عشق نازک مزاج ہے بے حد,ishq nāzukmizāj hai behad
عقل کا بوجہ اٹہا نہیں سکتا,aql kā bojh uthā nahīñ saktā
ہوش عارف کی ہے یہی پہچان,hosh aarif kī hai yahī pahchān
کہ خودی میں سما نہیں سکتا,ki ḳhudī meñ samā nahīñ saktā
پونچہ سکتا ہے ہم نشیں انسو,poñchh saktā hai hamnashīñ aañsū
داغ دل کو مٹا نہیں سکتا,dāġhedil ko mitā nahīñ saktā
مجہ کو حیرت ہے اس کی قدرت پر,mujh ko hairat hai us kī qudrat par
الم اس کو گہٹا نہیں سکتا,alam us ko ghatā nahīñ saktā
حلقے نہیں ہیں زلف کے حلقے ہیں جال کے,halqe nahīñ haiñ zulf ke halqe haiñ jaal ke
ہاں اے نگاہ شوق ذرا دیکہ بہال کے,haañ ai nigāheshauq zarā dekhbhāl ke
پہنچے ہیں تا کمر جو ترے گیسوئے رسا,pahuñche haiñ tākamar jo tire gesūerasā
معنی یہ ہیں کمر بہی برابر ہے بال کے,maanī ye haiñ kamar bhī barābar hai baal ke
بوس و کنار و وصل حسیناں ہے خوب شغل,bosokanārovaslehasīnāñ hai ḳhuub shaġhl
کمتر بزرگ ہوں گے خلاف اس خیال کے,kamtar buzurg hoñge ḳhilāf is ḳhayāl ke
قامت سے تیرے صانع قدرت نے اے حسیں,qāmat se tere sāneequdrat ne ai hasīñ
دکہلا دیا ہے حشر کو سانچے میں ڈہال کے,dikhlā diyā hai hashr ko sāñche meñ dhaal ke
شان دماغ عشق کے جلوے سے یہ بڑہی,shānedimāġh ishq ke jalve se ye baḍhī
رکہتا ہے ہوش بہی قدم اپنے سنبہال کے,rakhtā hai hosh bhī qadam apne sambhāl ke
زینت مقدمہ ہے مصیبت کا دہر میں,zīnat muqaddama hai musībat kā dahr meñ
سب شمع کو جلاتے ہیں سانچے میں ڈہال کے,sab shama ko jalāte haiñ sāñche meñ dhaal ke
ہستی کے حق کے سامنے کیا اصل این و اں,hastī ke haq ke sāmne kyā asleīnoāñ
پتلے یہ سب ہیں اپ کے وہم و خیال کے,putle ye sab haiñ aap ke vahmoḳhayāl ke
تلوار لے کے اٹہتا ہے ہر طالب فروغ,talvār le ke uthtā hai har tālibefaroġh
دور فلک میں ہیں یہ اشارے ہلال کے,daurefalak meñ haiñ ye ishāre hilāl ke
پیچیدہ زندگی کے کرو تم مقدمے,pechīda zindagī ke karo tum muqaddame
دکہلا ہی دے گی موت نتیجہ نکال کے,dikhlā hī degī maut natīja nikāl ke
ہنگامہ ہے کیوں برپا تہوڑی سی جو پی لی ہے,hañgāma hai kyuuñ barpā thoḍī sī jo pī lī hai
ڈاکا تو نہیں مارا چوری تو نہیں کی ہے,daakā to nahīñ maarā chorī to nahīñ kī hai
نا تجربہ کاری سے واعظ کی یہ ہیں باتیں,nātajrabakārī se vaaiz kī ye haiñ bāteñ
اس رنگ کو کیا جانے پوچہو تو کبہی پی ہے,is rañg ko kyā jaane pūchho to kabhī pī hai
اس مے سے نہیں مطلب دل جس سے ہے بیگانہ,us mai se nahīñ matlab dil jis se hai begāna
مقصود ہے اس مے سے دل ہی میں جو کہنچتی ہے,maqsūd hai us mai se dil hī meñ jo khiñchtī hai
اے شوق وہی مے پی اے ہوش ذرا سو جا,ai shauq vahī mai pī ai hosh zarā so jā
مہمان نظر اس دم ایک برق تجلی ہے,mehmānenazar is dam ek barqetajallī hai
واں دل میں کہ صدمے دو یاں جی میں کہ سب سہہ لو,vaañ dil meñ ki sadme do yaañ jī meñ ki sab sah lo
ان کا بہی عجب دل ہے میرا بہی عجب جی ہے,un kā bhī ajab dil hai merā bhī ajab jī hai
ہر ذرہ چمکتا ہے انوار الہی سے,har zarra chamaktā hai anvāreilāhī se
ہر سانس یہ کہتی ہے ہم ہیں تو خدا بہی ہے,har saañs ye kahtī hai ham haiñ to ḳhudā bhī hai
سورج میں لگے دہبا فطرت کے کرشمے ہیں,sūraj meñ lage dhabbā fitrat ke karishme haiñ
بت ہم کو کہیں کافر اللہ کی مرضی ہے,but ham ko kaheñ kāfir allāh kī marzī hai
تعلیم کا شور ایسا تہذیب کا غل اتنا,taalīm kā shor aisā tahzīb kā ġhul itnā
برکت جو نہیں ہوتی نیت کی خرابی ہے,barakat jo nahīñ hotī niyyat kī ḳharābī hai
سچ کہتے ہیں شیخ اکبرؔ ہے طاعت حق لازم,sach kahte haiñ shaiḳh akbar hai tāatehaq lāzim
ہاں ترک مے و شاہد یہ ان کی بزرگی ہے,haañ tarkemaioshāhid ye un kī buzurgī hai
ہر قدم کہتا ہے تو ایا ہے جانے کے لیے,har qadam kahtā hai tū aayā hai jaane ke liye
منزل ہستی نہیں ہے دل لگانے کے لیے,manzilehastī nahīñ hai dil lagāne ke liye
کیا مجہے خوش ائے یہ حیرت سرائے بے ثبات,kyā mujhe ḳhush aae ye hairatsarāebesabāt
ہوش اڑنے کے لیے ہے جان جانے کے لیے,hosh uḍne ke liye hai jaan jaane ke liye
دل نے دیکہا ہے بساط قوت ادراک کو,dil ne dekhā hai bisātequvvateidrāk ko
کیا بڑہے اس بزم میں انکہیں اٹہانے کے لیے,kyā baḍhe is bazm meñ āñkheñ uthāne ke liye
خوب امیدیں بندہیں لیکن ہوئیں حرماں نصیب,ḳhuub ummīdeñ bañdhīñ lekin huiiñ hirmāñ nasīb
بدلیاں اٹہیں مگر بجلی گرانے کے لیے,badliyāñ utthīñ magar bijlī girāne ke liye
سانس کی ترکیب پر مٹی کو پیار ا ہی گیا,saañs kī tarkīb par mittī ko pyaar aa hī gayā
خود ہوئی قید اس کو سینے سے لگانے کے لیے,ḳhud huī qaid us ko siine se lagāne ke liye
جب کہا میں نے بہلا دو غیر کو ہنس کر کہا,jab kahā maiñ ne bhulā do ġhair ko hañs kar kahā
یاد پہر مجہ کو دلانا بہول جانے کے لیے,yaad phir mujh ko dilānā bhuul jaane ke liye
دیدہ بازی وہ کہاں انکہیں رہا کرتی ہیں بند,dīdabāzī vo kahāñ āñkheñ rahā kartī haiñ band
